CP001733.1,NC_015183.1,NC_018679.1,NC_017196.2,AAJM01,NC_008542.1,NC_002696.2,ATLH01,NZ_CP009976.1,ATLG01,NZ_CP009887.1,NC_002179.2,CP000312.1,NC_003910.7,NC_014230.1,AJKU01,CP002491.1,NC_012971.2,AE014075.1,NZ_CP009789.1,NC_015948.1,AFAO01,NZ_AP012544.1,NC_008054.1,NC_009004.1,NZ_CP009494.1,AZJX01,AZKB01,NC_004547.2,NC_007205.1,NC_005072.1,NC_007577.1,NC_008817.1,NC_007335.2,NC_005042.1,NC_008820.1,NC_005071.1,NC_008819.1,NC_017731.1,ASWV01,AZUG01,NC_012660.1,ANJD01,NC_014010.1,NC_008380.1,ATYQ01,NC_003911.12,NC_016810.1,NC_003197.1,NC_016856.1,NC_022569.1,NC_020528.1,NC_007712.1,NC_007795.1,CP000410.1,NC_003098.1,CP002888.1,NC_003888.3,JPOY01,NC_021058.1,NC_002754.1,ADXL01,NZ_CP006882.1,NC_009481.1,AAOK01,NC_005070.1,CP003184.1,NC_005835.1,NC_006461.1,AAZW01,NZ_CP009840.1
GQ866233,15.6670200315981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ312117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF005319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF005320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF005317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF005318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP013029,0,0,0,0.116533816255952,0.116533816255952,0,0,0,0,0,0,0,0.116533816255952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ062992,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3615575483706,0,0,0,0
EF602154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50655789731998,0,0,0,0,0,0,0,0,0,0,0,0,0
KF301602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
